dataId,region,genre,contentType,title,length,releaseYear,votes,rating,description
102795,India,Drama,movie,Ratha Kanneer,154.0,1954,349,8.5,"The story revolves around Mohanasundaram, a returned-from-abroad, westernized, rich man who shows arrogance and contempt towards anything part of Indian culture and anyone below his social standards."
102854,United Kingdom,Animation,movie,Internet Story,10.0,2010,349,8.1,"A fast-paced and thought-provoking film told through fragments of internet videos, animations, blogs and news articles. A series of shocking events unfolds when a young man creates a public...                 »
"
102869,United Kingdom,Documentary,movie,Demetri Martin: If I,50.0,-1,349,8.0,Demetri Martin presents his existential dread for a British audience by dissecting his own words. If I is a deep dive of the definitions of the two small words and what they mean to a man finding and examining himself.
102897,Japan,Animation,movie,The Day I Bought a Star,16.0,2006,348,8.2,"A young boy is tired of the city and escapes into the country. Two strangers trade him a strange seed. The boy accepts and the seed sprouts into a miniature planet, which continues to grow."
102983,United States,Documentary,movie,God Is in the T.V.,44.0,-1,348,8.3,"A closer look at the Mechanical Animals era of Marilyn Manson, including all his music videos up to that point, as well as behind the scenes, live and backstage footage."
103147,United States,Documentary,movie,The Conscientious Objector,101.0,2004,346,8.1,"The story of Desmond Doss, a US Army medic who was the first conscientious objector to be awarded the Medal of Honor."
103194,United States,Documentary,movie,The Life of Reilly,84.0,2006,346,8.1,"If, in 1940, you had a lobotomized aunt, an institutionalized father, a racist mother, and were the only gay kid on the block, what do you think the odds would be that you'd end up a Tony ...                 »
"
103290,India,Drama,movie,Kabuliwala,95.0,1961,345,8.0,"A poor Afghani leaves his family behind to earn a living as a dried fruit vendor in India. Profoundly homesick, he befriends a young girl who reminds him of his own daughter. Meanwhile, the locals are distrustful of all foreigners."
102365,United States,Documentary,movie,Dave Matthews Band: Listener Supported,141.0,-1,354,8.8,"""Listener Supported"" documents the September 11, 1999, concert at the Continental Airlines Arena in East Rutherford, New Jersey, given by the Dave Matthews Band. The concert includes such ...                 »
"
102395,India,Biography,movie,Antaryatri Mahapurush (The Walking God),150.0,2022,353,9.4,"The film ""Antaryatri Mahapurush (The Walking God)"" is the life journey of Digambar Sant Acharya Vidya Sagar Ji Maharaj,.The film covers the story of his childhood till attaining the ...                 »
"
102397,United States,Documentary,movie,Woman in Motion,96.0,2019,353,8.7,"Nichelle Nichols' daunting task to launch a national blitz for NASA, recruiting 8,000 of the nation's best and brightest, including the trailblazing astronauts who became the first Black, Asian and Latino men and women to fly in space."
102456,United States,Documentary,movie,Ernie & Joe: Crisis Cops,96.0,2019,353,8.0,A pair of officers with the San Antonio Police Department mental health unit work to divert people away from jail and into mental health treatment.
102469,United States,Drama,movie,Secrets,-1.0,-1,353,8.5,"When a tragedy strikes, a group of friends learn some secrets are better left buried. On the surface Ariel and Greg appear to be the perfect couple, until Greg goes missing and Ariel's ...                 »
"
102486,United Kingdom,Drama,movie,"Comfort the Disturbed, Disturb the Comforted",76.0,2006,353,8.3,"DOG used to run a highly profitable team of international telephone fraudsters, until he was chased into hiding by a hit-man. With little human contact and only a white crow for company, ...                 »
"
102542,United States,Documentary,movie,"Creating the World of Harry Potter, Part 1: The Magic Begins",62.0,-1,352,8.0,Explore the World of Harry Potter through the behind the scenes creation of the films.
